-161-

TABLEAU 2 (SUITE) : ORIGINE DES PLAINTES. DENÛNCIATIDNS
ET PROCES-VERBAUX PARVENUS A LA CONNAISSANCE
DU MINISTÈRE PUBLIC

BASE DE DDNNEES DAVIDÛ ' CESDIP

ANDUVMc ANDUVJI ATDTORPV AGENDARN APDLICE APDLICUM

89999 3389 480993 309018 . 133197
81989 3870 403769 213754 . 156723
78540 3263 402534 209141 . 161717
79065 4339 420670 225892 . 162971
83483 4181 466631 248070 . 119286
90129 3775 489944 253372 . 128644
96266 3808 490125 259064 . 127540
90130 4763 486839 257921 . 191247
98215 4219 482760 261877 . 186867
102075 4161 495500 273257 . 188813
102664 4385 498137 274774 . 188554

105908 4252 503001 281664 . 186709

