-163-

TABLEAU 2 (FIN) : ORIGINE DES PLAINTES. DENONCIATIDNS ET
PROCES-VERBAUX PARVENUS A LA CONNAISSANCE
DU MINISTÈRE PUBLIC

BASE DE DONNÉES DAVIDO - CESDIP

AJUGE AMAIRE ACHAMPET APARTIC APDNPECH AIMPDDUA

591 1071 4936 4112 966 3486
393 921 4203 3750 899 2415
423 B21 4140 3661 959 2238
553 835 4249 4055 955 2180
852 1337 5226 5471 1335 2381
2567 1433 .5949 5497 1338 2973
794 1157 6728 5162 1536 2713
764 823 4801 5303 1662 2867
511 741 4522 5289 1548 2302
534 932 4798 5229 1415 2165
353 924 3952 5121 1319 2850

344 825 3904 5274 1456 2984

