-165-

t PREMIÈRE DIRECTION DONNÉE PAR
LE MINISTÈRE PUBLIC AUX PLAINTES.
DENUNCIATIDNS ET PROCES-VERBAUX

DAVIDO - CESDIP

ACOMMUAL ACUMMUJE ACDMMUTP ATDTCLAS

33581 . . 307261
27579 . . 260343
29112 . . 264668
30091 . . 277089
37163 . . 298413
36706 1 . 315729
40424 1 . 317241
34609 1 . 319923
36085 1 . 319924
38587 1 . 330777
33759 1 . 330612
35526 1 . 338616
35696 . . 350099
32142 . . 363339
29501 . . 355576
30622 . . 350153
35457 . . 361799
35466 . . 364955
36383 . . 394883
45847 . . 589783
48600 . . 655655
32731 . . 572613
39375 . . 590290
56240 . . 733246
48827 . . 671150
46378 . . 599139
43365 . . 565643
47071 . . 533959
52316 . . 472673
67794 . . 444711
71135 . . 501727
75396 . . 532287
70472 15554 . 562332
106501 15090 . 535818
84906 16347 . 576129
92363 18321 . 629110
101462 18233 . 609352
390819 25964 . 787439
417844 30429 . 818786
89291 29348 1282897 915182
97662 29932 1324707 994109
126856 30275 1714683 1055231
159318 34905 2163734 1135864
166227 33941 5305328 1261311
191140 33887 5577279 1413851
197161 34879 5535579 1560298
228700 35179 4908090 1747242
253010 34224 4663402 1988973
299946 37590 6472113 2202223
319704 40509 7451090 2476644
368149 43321 6366202 2606187
462330 42365 7334227 2698775
444286 44120 6007729 3255116
474465 46594 8761153 3336627
460652 48814 9355430 3285047
534073 51470 8848051 3244090
648172 51148 9179569 3494761
682072 59526 7050658 3839872
786669 61083 10307560 4112013

806236 65452 7887543 5303525

