-167-

TABLEAU 4 (FIN) : ETAT DES AFFAIRES LAISSEES SANS POURSUITE
PAR LE MINISTERE PUBLIC ET MOTIFS DE CE5 DÉCISIONS
BASE DE DÛNNEES DAVIDD - CESDIP

ACLASCRI ACLASDEL ANICNID1 AINCONN1 APAGRAV1 AMENTAL1 AINSUFF1

8533 298728 93679 108382 38614 1437 14611
6998 253345 81927 94914 31944 1320 9946
6521 258147 86125 92643 32659 1213 10788
6182 270907 89252 93344 31458 1416 16143
6636 291777 93131 103778 33523 1233 13232
6365 309364 91425 116673 33152 1385 13205
6789 310452 89995 120235 34107 1268 13511
5998 313925 89949 120138 34404 1138 11324
5507 314417 89641 118685 33010 1275 10025
5026 325751 93571 118904 30456 1306 10913
4839 325773 95702 114877 30114 1262 18251

4712 333904 97680 118752 28882 1604 17885

