-170-

ABLEAU 6 : ETAT DES AF 7FAIRES TERMIN
DES ORDONNÆ XNCES DE NON-L
RENDUES PAF i LES JUGES D'
ET MOTIES E 1E CES DECISID
ASE DE DONNÉES DAVIDD - CESDIF

ADNLDEFZ ANDLICRI ANÛLIDEL
19636 7012 12624
20455 6704 13751
16880 5239 11641
16733 4994 11739
17661 4977 12684
17265 4796 12469
18385 4988 13397
18793 5077 13716
19907 5417 144 90
21041 5646 15395
18933 4961 13972
19819 4844 14975
22119 5050 17069
21456 4837 16619
21957 4951 17006
24889 5239 19650
29208 5689 23519
23974 5183 18791
26643 5486 21157
28102 5892 22210
26515 5349 21166
28217 5644 22573
26516 4995 21521
25709 5201 20508
22123 4391 17732
20304 4210 16094
19325 4163 15162
20463 4129 16334
17582 3926 13656
17418 3512 13906
17570 3787 13783
17691 3829 13862
14877 3639 11238
13297 3424 9873
12870 3238 9632
11573 3016 8557
12543 3166 9377
12790 3341 9449
12305 3088 9217
11094 2971 8123
14592 3228 11364
15759 3281 12478
14635 3093 11542
15472 3365 12107
12731 2776 9955
13539 2647 10892
13747 2640 11107
12515 2686 9829
13030 2581 10449
13314 2826 10488
13101 2982 10119
12651 2940 9711
12653 3038 9615
11722 2933 8789
11778 2904 8874
12447 3067 9380
11465 2822 8643
10518 2819 7699
10076 2695 7381
10460 2707 7753

9840 2596 724-4
10973 2688 8285
10899 2594 8305
11358 2572 8786
10733 2543 8190
10813 2370 8443
10497 2458 8039
11598 2600 8998
12269 2574 9695
12088 2533 9555
13508 2500 1 1008
13112 2415 10697
13594 2615 10979
15049 2681 12368
15438 2887 12551
15724 2914 12810
16150 2782 13368
17721 2950 14771
17362 2838 14524
16786 2776 14010
18277 3100 15177
18484 3064 15420
18195 2865 15330
20911 2357 18554

21707 2617 19090

