- 1'72?-
I 7 : RÉSULTAT DES AFFAIRES RENVOYEE
DEVANT LES CHAMBRES D'ACCUSAT
DONNÉES DAVIDO - CESDIP

AANLCRIM AANLDELI AANLTOT

741 420 1161
626 286 912
552 177 729
455 206 661
476 141 617
472 138 610
426 100 526
444 79 523
431 118 549
418 120 538
459 97 556
375 114 469
347 107 454
374 94 468
307 80 357
361 70 431
456 87 543
300 81 3B1
300 189 489
304 178 462
304 115 419
302 51 353
273 33 306
224 64 288
190 75 265
205 59 264
205 19 224
174 22 196
196 19 215
167 19 186
198 16 214
178 15 193
143 20 163
125 20 145
139 10 149
138 15 153
111 7 118
107 8 115
124 16 140
101 8 109
105 32 137
108 18 126
121 17 138
110 20 130
114 14 128
106 14 120
54 10 94
120 15 135
105 13 118
116 13 129
99 23 122
113 1B 131
126 5 131
105 9 114
102 4 106
115 4 119
105 2 107
116 2 118
91 5 99
116 7 123
113 B 121
118 3 121
136 6 144
112 31 143
107 9 116
134 a 142
114 15 129
114 25 139
131 20 151
109 15 124
123 61 1B4
104 52 156
55 58 143
84 94 178
82 64 146
112 63 175
116 61 177
B7 100 187
86 135 221
109 142 251
99 146 245
105 198 303
121 190 311
69 54 133

74 88 162

