-176-

STRUCTION. ACHEVEMENTI
TENTIÛN PREVENTIVE
- CESDIP

PDPEMPRI PDPAMEN

16378 740
17662 792
17746 819
17765 847
19076 735
20188 613
22257 748
23873 904
24703 748
26300 750
25828 502
26595 592
29082 685
29134 618
28501 564
33386 746
44994 840
34483 789
40528 848
43716 838
45930 881
50851 771
51859 904
52125 666
46513 572
43876 616
43333 599
42876 576
40099 396
39754 404
43335 430
45771 331
42019 410
42894 414
42731 303
43819 336
49939 393
55124 409
53147 371
33967 360
43172 332
58411 651
60519 1030
62866 732
61548 953
60602 1050
65039 980
62994 818
63875 1020
70772 1452
75528 1908
77229 1750
79157 2239
82939 1667
83413 1835
84563 2196
81491 2195
83547 2061
87218 2237
86978 2593
84899 2897
88680 2392
84547 2481
86393 2146
77182 2030
74535 2723
69844 2349
71002 2536
65634 2107
62081 2033
59247 1739
57671 1758
55917 1657
51971 2086
52865 1817
51546 2163
57423 2050
58797 1861
55645 1506
55032 1287
61452 1620
65488 1718
61620 1453
40040 1448

53507 1437

