-î77-

8 (FIN) : INSTRUCTION. A
DETENTION PREV

DONNÉES DAVIDD - CESDIP

PDPRELA PDPEMPRI

5553 54248
4179 47452
4297 47044
4415 50314
3941 57342
4191 58831
4137 62145
3725 55812
3575 53589
3557 52139
3815 55148
4598 54048
2891 45745
3420 48979
3515 51311
3174 45003
3070 43305
3555 51139
3351 38718
5187 54278
4575 57335
3834 58555
3344 42780
3510 44735
2772 42001
3452 51425
837 29959
1058 31080
1521 34585
2403 32817
1150 32189
982 31258
759 28070
891 29208
880 31273
743 31885
708 33951
553 35144
541 35002
583 30489
599 29005
501 23050
515 21314
505 21004
548 18921
743 20558
509 20094
577 18508
405 15957
535 17251
505 18827

713 16485

