-189-

ABLEAU 12 (FIN) : ACTIVITÉ DES TRIBUNAUX CDRRECTIDNNELS -
MODE D'INTRDDUCTIÛN DES POURSUITES
BASE DE DONNÉES DAVIDD - CESDIP

PMPAMEN PADRELA PADEMP PADAMEN PPCRELA PPCEMP PPCAMEN

113959 294 500 6096 563 277 2696
90134 439 422 4539 663 157 3151
80335 358 572 4295 728 209 3542
81226 188 251 2936 626 203 3142
93601 339 253 3238 1015 181 3208
101445 249 289 3122 896 136 3459
101389 230 336 3995 764 216 3431
98637 261 624 3351 979 553 3379
101278 266 424 3978 1019 539 3217
102104 168 389 2908 1190 374 3301
104537 200 494 3169 1479 367 3911

96624 257 688 4264 1259 240 3303

