- 1 9 C)-

DES TRIBUNAUX CORRECT
DES POURSUITES
- CESDIP

PCDNDCOR PPRISON

224560 30608
190390 33599
177019 32266
146105 32560
140306 34634
154283 37664
164477 40206
168143 43293
166732 46013
180295 51498
164595 48337
170086 49624
176163 53092
177090 53992
175450 52652
183972 59982
213711 78713
190975 62167
191260 72479
201860 78252
197353 80394
226340 90916
236320 93814
233379 95156
213262 90824
203824 89543
209858 89331
192806 87385
179092 82048
158869 82839
163327 87947
159992 91442
150049 87266
154529 88425
154437 89563
154092 92872
167612 98839
175904 107909
156442 101100
112607 67922
151474 86431
170969 108143
178723 110247
189596 116764
185245 112239
186562 110253
183391 114290
180576 109323
183843 110544
186198 116731
195648 121564
188700 122833
195460 123953
203847 128251
209788 130224
208741 130396
213769 129330
, 212993 131989
212763 134775
214117 133625
219112 131994
232221 140180
231781 138910
233158 139440
222709 127885
214265 125592
209269 121325
204183 124581
197388 118784
188000 112417
168886 110203
191316 110630
191275 107716
195495 107704
197237 110666
190436 110191
204830 118180
208284 117676
200430 111939
200733 113707
219475 123866
224806 127589
216261 118806

15395À sasoè
223595 106469

