-192-
U 13 (SUITE) : ACTIVITÉ DES TRIBUNAU
RÉSULTAT DES POURSUIT
E DONNÉES DAVIDO ' CESDIP

PSPEACOU PSPEPARE PSPEMAIS

11135 . 0
9392 0 o
9031 0 o
7935 0 0
6937 0 0
6510 0 0
11011 0 0
5915 0 0
5563 0 o
5260 0 0
4393 15 2
4419 105 31
4354 130 31
4929 233 23
4225 136 19
3910 163 17
3431 139 22
3725 102 55
3473 175 51
3793 195 27
3171 169 17
4155 132 29
3072 97 16
2952 34 15
2395 117 6
2502 97 1
1950 121 1
1703 91 4
1451 62 6
1035 33 3
1322 42 4
1149 62 1
1023 30 3
1177 25 3
1022 A 42 2
1055 52 1
1222 39 4
1115 42 26

953 25 32
694 25 12
1135 31 54
374 75 102
943 79 90
1055 73 93
1363 35 71
1361 57 33
1024 34 109
990 102 116
365 31 66
901 132 29
323 70 76
345 73 52
305 95 33
313 111 35
940 135 175
731 172 273
1140 233 350
391 159 369
391 135 301
934 175 342
1039 265 255
1403 466 352
1434 393 230
1263 419 59
1429 400 43
1397 334 45
1137 300 15
1129 323 15
1094 253 5
959 223 10
951 132 4
930 165 27
943 135 29
1109 205 34
1233 319 33
1030 334 29
933 290 16
1116 355 13
1014 226 15
929 169 0
994 137 1
735 115 9
754 149 2
313 104 0
422 75 0

