-195-

ACTIVITÉ DES TRIBUNAU

RESULTAT DES POURSUIT
1VIDO - CESDIP

ADEFSIGN ADEFNDDP

32951 31633
35402 34345
29207 27974
25107 24038
21132 20220
20007 18973
18836 17887
17314 16339
16864 15403
16799 15790
15820 14830
17404 16209
17913 16606
15425 14270
12464 11524
20497 19401
17152 15617
18597 17080
18919 16929
17586 15924
18210 16351
1752B 15584
17955 16241
19276 17410
19498 17653
18868 16681
17823 15389
17059 14831
19885 17131
19789 1702B
19262 16288
18700 15849
18070 14836
16800 13781
16792 13677
16362 13111
17056 13572
17513 13860
20136 16044
20015 16005
19553 15015
19906 15202
21908 16750
20715 15784
20054 14983
20115 14918
21184 15462
23119 16691
25091 18134
26707 .
24849

27251

27202

27642 .
37596 29316
40623 31488
40279 30607
40177 30832
25033 20642
34918 29375
33930 27923
30217 23560
26972 21282
25975 20292
31699 25566
32679 26393
33649 25579
29790 21959
38080 30385
28419 19885
31062 22555

30565 21926

