- 1 9 9 -

TABLEAU 15 (FIN) : EXÉCUTION DES PEINES D'EMPRISÛNNEMENT
BASE DE DDNNEES DAVIDD - CESDIP

FEXESURS PEXEDPSU PEXEFERM PEXEDPFE PEXEDPIM PEXEGRAC

25474 6821 81609 48561 1883 632
23744 56995 77633 42222 1910 332
22107 5834 74764 42116 1767 353
20559 5181 77811 46379 1572 574
23138 5590 87315 52616 1671 394
22200 4840 94082 54685 1871 476
24944 5332 97405 57374 1516 428
25312 5781 95333 51670 1860 492
28687 5922 B7339 46792 1636 351
27918 5281 85634 45486 1710 341
28711 5608 89165 48191 1740 476
29780 5739 88218 47444 2025 426
28128 4411 84340 39737 1743 497
32546 5379 92038 43587 1705 426
32034 5015 81414 40758 1852 554
3124B 5245 72211 36979 1191 534
32779 5484 81386 44779 1929 864
35821 5042 71667 32702 1571 675
58846 9239 137079 52726 2505 1322

50386 8341 154708 56701 3114 1971

