-201

TABLEAU 16 (FIN) : RECIDIVES7E
BASE DE DONNEES DAVIDO - CESDI

ANNEE PRECIASS PRECICDR
1921
1922
1923
1924
1925 . .
1926 463 43051
1927 461 47764
1928 456 47725
1929 406 45161
1930 420 48552
1931 381 51238
1932 408 51012
1933 489 58456
1934 509 61714
1935 532 64356
1936 372 57806
1937 296 45504
1938 256 46382
1939 . .
1940 109 38874
1941 131 51724
1942 124 54067
1943 168 46517
1944 142 38631
1945 146 37146
1946 221 46337
1947 343 -49296
1946 357 50545
1949 547 44739
1950 485 42001
1951 436 41980
1952 364 39582
1953 255 37202
1954 183 33495
1955 162 36388
1956 201 39489
1957 232 41404
1956 289 43289
1959 353 44251
1960 283 46981
1961 310 57574
1962 351 60747
1963 407 68606
1964 478 75669
1965 508 89859
1966 582 83499
1967 440 80536
1968 466 93735
1969 376 81159
1970 314 60308
1971 334 89847
1972 459 114965
1973 563 125684
1974 597 77209
1975 750 75276
1976 665 102236
1977 777 127554

1978 1065 156440

